,car_model,year_of_manufacture,price,fuel
0,ritz,2014,5000.0,Petrol
1,sx4,2013,7089.55223880597,Diesel
2,ciaz,2017,10820.89552238806,Petrol
3,wagon r,2011,4253.731343283582,Petrol
4,swift,2014,6865.671641791044,Diesel
5,vitara brezza,2018,13805.970149253732,Diesel
6,ciaz,2015,10074.626865671642,Petrol
7,s cross,2015,9701.492537313432,Diesel
8,ciaz,2016,13059.701492537311,Diesel
9,ciaz,2015,11119.402985074626,Diesel
0,alto 800,2017,4253.731343283582,Petrol
1,ciaz,2015,10223.880597014926,Diesel
2,ciaz,2015,11194.029850746268,Petrol
3,ertiga,2015,9104.477611940298,Petrol
4,dzire,2009,3358.208955223881,Petrol
5,ertiga,2016,11567.164179104477,Diesel
6,ertiga,2015,10820.89552238806,Diesel
7,ertiga,2016,11567.164179104477,Diesel
8,wagon r,2015,4850.746268656716,CNG
9,sx4,2010,3955.223880597015,Petrol
0,alto k10,2016,4253.731343283582,Petrol
1,ignis,2017,7313.432835820897,Petrol
2,sx4,2011,6567.164179104479,Petrol
3,alto k10,2014,3731.3432835820895,Petrol
4,wagon r,2013,4328.358208955224,Petrol
5,swift,2011,4477.611940298508,Petrol
6,swift,2013,6194.029850746269,Petrol
7,swift,2017,8955.223880597016,Petrol
8,alto k10,2010,2910.4477611940297,Petrol
9,ciaz,2015,11119.402985074626,Diesel
0,ritz,2012,4626.8656716418,Diesel
1,ritz,2011,3507.4626865672,Petrol
2,swift,2014,7388.0597014925,Diesel
3,ertiga,2014,8955.223880597,Diesel
4,dzire,2014,8208.9552238806,Diesel
5,sx4,2011,4402.9850746269,CNG
6,dzire,2015,6940.2985074627,Petrol
7,800,2003,522.3880597015,Petrol
8,alto k10,2016,4477.6119402985,Petrol
9,sx4,2003,3358.2089552239,Petrol
0,baleno,2016,8731.3432835821,Petrol
1,alto k10,2014,3805.9701492537,Petrol
2,sx4,2008,2910.447761194,Petrol
3,dzire,2014,8208.9552238806,Diesel
4,omni,2012,1865.671641791,Petrol
5,ciaz,2014,11194.0298507463,Petrol
6,ritz,2013,3955.223880597,Petrol
7,wagon r,2006,1567.1641791045,Petrol
8,ertiga,2015,8656.7164179104,Petrol
9,ciaz,2017,11567.1641791045,Petrol
0,fortuner,2012,22238.8059701493,Diesel
1,fortuner,2015,34328.3582089552,Diesel
2,innova,2017,26865.671641791,Diesel
3,fortuner,2013,23880.5970149254,Diesel
4,innova,2005,4104.4776119403,Petrol
5,corolla altis,2009,5373.1343283582,Petrol
6,etios cross,2015,6716.4179104478,Petrol
7,corolla altis,2010,7089.552238806,Petrol
8,etios g,2014,6119.4029850746,Petrol
9,fortuner,2014,29835.8208955224,Diesel
0,corolla altis,2013,10373.134328358208,Petrol
1,etios cross,2015,6716.417910447762,Petrol
2,fortuner,2014,27985.074626865677,Diesel
3,fortuner,2015,35074.62686567164,Diesel
4,fortuner,2017,49253.73134328358,Diesel
5,etios liva,2014,7089.55223880597,Diesel
6,innova,2017,29477.611940298502,Petrol
7,fortuner,2010,13805.970149253732,Diesel
8,corolla altis,2011,6492.537313432835,Petrol
9,corolla altis,2016,21268.65671641791,Petrol
0,etios liva,2014,5895.522388059701,Diesel
1,corolla altis,2011,6716.417910447762,Diesel
2,corolla altis,2013,11119.402985074626,Petrol
3,etios liva,2011,3955.223880597015,Petrol
4,etios cross,2014,7313.432835820897,Diesel
5,etios g,2015,5895.522388059701,Petrol
6,corolla altis,2013,8208.955223880597,Petrol
7,corolla,2004,2238.805970149254,Petrol
8,corolla altis,2010,7835.820895522388,Petrol
9,fortuner,2012,21641.79104477612,Diesel
0,corolla altis,2016,21985.074626865677,Diesel
1,etios gd,2015,7089.55223880597,Diesel
2,innova,2017,34328.35820895522,Diesel
3,innova,2015,18656.716417910447,Diesel
4,innova,2005,5208.955223880597,Diesel
5,camry,2006,3731.3432835820895,Petrol
6,land cruiser,2010,52238.80597014925,Diesel
7,corolla altis,2012,8805.970149253732,Petrol
8,etios liva,2013,5149.253731343284,Petrol
9,etios g,2014,7089.55223880597,Petrol
